"id","name","image","level","type","attribute","family","prior_forms","next_forms","lateral_next_forms","digifuse_forms","attacks"
1,"Abbadomon","https://static.wikia.nocookie.net/digimon/images/e/eb/Abbadomon_b.jpg/revision/latest/scale-to-width-down/268?cb=20210921025641","Mega",NULL,"Unidentified","[]","[""Negamon (Giant)""]","[]","[]","[]","[]"
2,"Abbadomon_Core","https://static.wikia.nocookie.net/digimon/images/4/49/Abbadomon_Core_b.jpg/revision/latest/scale-to-width-down/268?cb=20210927020819","Mega",NULL,"Unidentified","[]","[""Negamon (Giant)""]","[]","[]","[]","[]"
3,"Achillesmon","https://static.wikia.nocookie.net/digimon/images/8/8f/Achillesmon_b.jpg/revision/latest/scale-to-width-down/268?cb=20210305021739","Mega",NULL,"Virus","[]","[]","[]","[]","[]","[]"
4,"Aegiochusmon","https://static.wikia.nocookie.net/digimon/images/8/8f/Aegiochusmon_b.jpg/revision/latest/scale-to-width-down/268?cb=20140222172316","Ultimate",NULL,"Vaccine","[]","[""Aegiomon""]","[]","[]","[]","[]"
5,"Aegiochusmon_Blue","https://static.wikia.nocookie.net/digimon/images/1/16/Aegiochusmon_Blue_b.jpg/revision/latest/scale-to-width-down/268?cb=20140307020806","Ultimate",NULL,"Vaccine","[]","[""Aegiomon""]","[]","[]","[]","[]"
6,"Aegiochusmon_Dark","https://static.wikia.nocookie.net/digimon/images/5/5c/Aegiochusmon_Dark_b.jpg/revision/latest/scale-to-width-down/268?cb=20170331022154","Ultimate",NULL,"Vaccine","[]","[""Aegiomon""]","[]","[]","[]","[]"
7,"Aegiochusmon_Green","https://static.wikia.nocookie.net/digimon/images/e/ee/Aegiochusmon_Green_b.jpg/revision/latest/scale-to-width-down/268?cb=20140228032051","Ultimate",NULL,"Vaccine","[]","[""Aegiomon""]","[]","[]","[]","[]"
8,"Aegiochusmon_Holy","https://static.wikia.nocookie.net/digimon/images/7/79/Aegiochusmon_Holy_b.jpg/revision/latest/scale-to-width-down/268?cb=20180424044143","Ultimate",NULL,"Vaccine","[]","[""Aegiomon""]","[""Jupitermon""]","[]","[]","[]"
9,"Aegiomon","https://static.wikia.nocookie.net/digimon/images/7/78/Aegiomon_b.jpg/revision/latest/scale-to-width-down/268?cb=20140214024015","Champion",NULL,"Vaccine","[]","[]","[""Aegiochusmon"", ""Aegiochusmon Green"", ""Aegiochusmon Blue"", ""Aegiochusmon Dark"", ""Aegiochusmon Holy""]","[]","[]","[]"
10,"Aegisdramon","https://static.wikia.nocookie.net/digimon/images/0/0a/Aegisdramon_b.jpg/revision/latest/scale-to-width-down/268?cb=20170217121624","Mega",NULL,"Vaccine","[""Dragon's Roar"", ""Deep Savers""]","[]","[]","[]","[]","[{""name"": ""Digimon Story: Lost Evolution"", ""description"": "", it simultaneously fires concentrated bombardments of shining energy and bombardments of scorching energy at the target from all the cannons on its body, completely annihilating the target with the gigantic explosion of super-destructive energy produced from the fusion of the two types of energy at the point of convergence of all the bombardments, and releasing a glistening, golden flash which gives off the feeling of terrifying power and divinity at the same time.""}]"
