id,name,image,level,attribute,family,prior_forms,next_forms,lateral_next_forms,digifuse_forms,attacks
1,Abbadomon,https://static.wikia.nocookie.net/digimon/images/e/eb/Abbadomon_b.jpg/revision/latest/scale-to-width-down/268?cb=20210921025641,Mega,Unknown,Unknown,Negamon (Giant),,,,Unknown
3,Achillesmon,https://static.wikia.nocookie.net/digimon/images/8/8f/Achillesmon_b.jpg/revision/latest/scale-to-width-down/268?cb=20210305021739,Mega,Virus,Unknown,,,,,Unknown
4,Aegiochusmon,https://static.wikia.nocookie.net/digimon/images/8/8f/Aegiochusmon_b.jpg/revision/latest/scale-to-width-down/268?cb=20140222172316,Ultimate,Vaccine,Unknown,Aegiomon,,,,Unknown
5,Aegiochusmon Blue,https://static.wikia.nocookie.net/digimon/images/1/16/Aegiochusmon_Blue_b.jpg/revision/latest/scale-to-width-down/268?cb=20140307020806,Ultimate,Vaccine,Unknown,Aegiomon,,,,Unknown
6,Aegiochusmon Dark,https://static.wikia.nocookie.net/digimon/images/5/5c/Aegiochusmon_Dark_b.jpg/revision/latest/scale-to-width-down/268?cb=20170331022154,Ultimate,Vaccine,Unknown,Aegiomon,,,,Unknown
7,Aegiochusmon Green,https://static.wikia.nocookie.net/digimon/images/e/ee/Aegiochusmon_Green_b.jpg/revision/latest/scale-to-width-down/268?cb=20140228032051,Ultimate,Vaccine,Unknown,Aegiomon,,,,Unknown
8,Aegiochusmon Holy,https://static.wikia.nocookie.net/digimon/images/7/79/Aegiochusmon_Holy_b.jpg/revision/latest/scale-to-width-down/268?cb=20180424044143,Ultimate,Vaccine,Unknown,Aegiomon,Jupitermon,,,Unknown
9,Aegiomon,https://static.wikia.nocookie.net/digimon/images/7/78/Aegiomon_b.jpg/revision/latest/scale-to-width-down/268?cb=20140214024015,Champion,Vaccine,Unknown,,Aegiochusmon | Aegiochusmon Green | Aegiochusmon Blue | Aegiochusmon Dark | Aegiochusmon Holy,,,Unknown
10,Aegisdramon,https://static.wikia.nocookie.net/digimon/images/0/0a/Aegisdramon_b.jpg/revision/latest/scale-to-width-down/268?cb=20170217121624,Mega,Vaccine,Dragon's Roar,,,,,Unknown
11,Aequcedramon,https://static.wikia.nocookie.net/digimon/images/4/4c/Aequcedramon_b.jpg/revision/latest/scale-to-width-down/268?cb=20201226060303,Unknown,Unknown,Unknown,,,,,Unknown
