id,name,image,level,attribute,family,prior_forms,next_forms,lateral_next_forms,digifuse_forms,attacks,included
1,Aegiochusmon,./new_digimon_images\Aegiochusmon.jpg,Ultimate,Vaccine,Unknown,Aegiomon,Unknown,Unknown,Unknown,Unknown,True
2,Aegiochusmon Blue,./new_digimon_images\Aegiochusmon_Blue.jpg,Ultimate,Vaccine,Unknown,Aegiomon,Unknown,Unknown,Unknown,Unknown,True
3,Aegiochusmon Dark,./new_digimon_images\Aegiochusmon_Dark.jpg,Ultimate,Vaccine,Unknown,Aegiomon,Unknown,Unknown,Unknown,Unknown,True
4,Aegiochusmon Green,./new_digimon_images\Aegiochusmon_Green.jpg,Ultimate,Vaccine,Unknown,Aegiomon,Unknown,Unknown,Unknown,Unknown,True
5,Aegiochusmon Holy,./new_digimon_images\Aegiochusmon_Holy.jpg,Ultimate,Vaccine,Unknown,Aegiomon,Jupitermon,Unknown,Unknown,Unknown,True
6,Aegiomon,./new_digimon_images\Aegiomon.jpg,Champion,Vaccine,Unknown,Unknown,Aegiochusmon | Aegiochusmon Green | Aegiochusmon Blue | Aegiochusmon Dark | Aegiochusmon Holy,Unknown,Unknown,Unknown,True
7,Aero Veedramon,no image,Ultimate,Vaccine,Nature Spirits,Veedramon,UlforceVeedramon,Unknown,Unknown,Magnum Crush | Kaze no Shugo Kabe,True
8,Agunimon,./new_digimon_images\Agunimon.jpg,Hybrid,Vaccine / Variable,None,H Spirit of Flame,BurningGreymon | Aldamon | BurningGreymon,Unknown,Unknown,Burning Salamander | Salamander Break | Fire Darts | Crimson Knuckle,True
9,Agumon,./new_digimon_images\Agumon.jpg,Rookie,Vaccine,Nature Spirits,Koromon,Greymon | Centarumon | Meramon | Numemon | Tyrannomon | Tuskmon | Agumon (Bond of Bravery) | Cyberdramon,BlackAgumon | SnowAgumon,Shoutmon X7F Superior Mode,Baby Flame | Surudoi Tsume | Spitfire | Cross Fight | Triple Baby Flame | Uppercut | Mach Jab,True
10,Agumon Bond of Bravery,./new_digimon_images\Agumon Bond of Bravery.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
11,Airdramon,./new_digimon_images\Airdramon.jpg,Champion,Vaccine,Wind Guardians,Botamon,MetalGreymon (Virus) | Megadramon,Unknown,Unknown,God Tornado,True
12,Aldamon,./new_digimon_images\Aldamon.jpg,Hybrid,Variable,None,Spirits of Flame,EmperorGreymon | Spirits of Wind | Ice | Wood | Earth,Unknown,Unknown,Brahmashira | Brahmastra,True
13,Alphamon,./new_digimon_images\Alphamon.jpg,Mega,Vaccine,Virus Busters,Grademon,Alphamon Ouryuken | Ouryumon,Alphamon Ouryuken,Unknown,Seiken Gradalpha | Digital Monster X-Evolution | Kyūkyokusenjin Ouryūken | Ouryūken,True
14,Alphamon Ouryuken,./new_digimon_images\Alphamon_Ouryuken.jpg,Mega,Vaccine,Virus Busters,Alphamon,Unknown,Unknown,Unknown,Kyūkyokusenjin Ouryūken | Digital Monster X-Evolution | Seiken Gradalpha,True
15,Ancient Wisemon,no image,Mega,Virus,Unknown,Unknown,Unknown,Unknown,Unknown,Laplace no Ma,True
16,Andiramon,./new_digimon_images\Andiramon.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
17,Andromon,./new_digimon_images\Andromon.jpg,Ultimate,Vaccine,Metal Empire,Guardromon,HiAndromon,Unknown,Unknown,Spiral Sword | Gatling Missile | Gatling Missile Rensha Mode,True
