id,name,image,level,attribute,family,prior_forms,next_forms,lateral_next_forms,digifuse_forms,attacks,included,description
1,Aegiochusmon,/digimons_images/Aegiochusmon.jpg,Ultimate,Vaccine,Unknown,Aegiomon,Unknown,Unknown,Unknown,Unknown,True,"Fusion Digimon with a divine presence, known for its balance of strength and wisdom."
2,Aegiochusmon Blue,/digimons_images/Aegiochusmon_Blue.jpg,Ultimate,Vaccine,Unknown,Aegiomon,Unknown,Unknown,Unknown,Unknown,True,"Blue variant of Aegiochusmon, radiating calm determination and sharp focus."
3,Aegiochusmon Dark,/digimons_images/Aegiochusmon_Dark.jpg,Ultimate,Vaccine,Unknown,Aegiomon,Unknown,Unknown,Unknown,Unknown,True,"Dark form of Aegiochusmon, embodying destructive power and fearsome might."
4,Aegiochusmon Green,/digimons_images/Aegiochusmon_Green.jpg,Ultimate,Vaccine,Unknown,Aegiomon,Unknown,Unknown,Unknown,Unknown,True,"Green variant of Aegiochusmon, connected with nature’s resilience and harmony."
5,Aegiochusmon Holy,/digimons_images/Aegiochusmon_Holy.jpg,Ultimate,Vaccine,Unknown,Aegiomon,Jupitermon,Unknown,Unknown,Unknown,True,"Holy form of Aegiochusmon, shining with radiant energy and protective will."
6,Aegiomon,/digimons_images/Aegiomon.jpg,Champion,Vaccine,Unknown,Unknown,Aegiochusmon | Aegiochusmon Green | Aegiochusmon Blue | Aegiochusmon Dark | Aegiochusmon Holy,Unknown,Unknown,Unknown,True,"Gentle centaur-like Digimon, carrying the aura of ancient heroes."
7,Aero Veedramon,/digimons_images/AeroVeedramon.jpg,Ultimate,Vaccine,Nature Spirits,Veedramon,UlforceVeedramon,Unknown,Unknown,Magnum Crush | Kaze no Shugo Kabe,True,"Winged dragon Digimon, swift and proud, soaring through the skies."
8,Agunimon,/digimons_images/Agunimon.jpg,Hybrid,Vaccine / Variable,,H Spirit of Flame,BurningGreymon | Aldamon | BurningGreymon,Unknown,Unknown,Burning Salamander | Salamander Break | Fire Darts | Crimson Knuckle,True,"Warrior born from fire, wielding flames with courage and strength."
9,Agumon,/digimons_images/Agumon.jpg,Rookie,Vaccine,Nature Spirits,Koromon,Greymon | Centarumon | Meramon | Numemon | Tyrannomon | Tuskmon | Agumon (Bond of Bravery) | Cyberdramon,BlackAgumon | SnowAgumon,Shoutmon X7F Superior Mode,Baby Flame | Surudoi Tsume | Spitfire | Cross Fight | Triple Baby Flame | Uppercut | Mach Jab,True,"Small reptile Digimon, brave and loyal, known for breathing small but powerful fireballs."
10,Agumon Bond of Bravery,/digimons_images/Agumon Bond of Bravery.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,"Agumon’s ultimate bond with its partner, glowing with unyielding courage."
11,Airdramon,/digimons_images/Airdramon.jpg,Champion,Vaccine,Wind Guardians,Botamon,MetalGreymon (Virus) | Megadramon,Unknown,Unknown,God Tornado,True,"Mythical dragon Digimon with great wings, feared for its stormy temper."
12,Aldamon,/digimons_images/Aldamon.jpg,Hybrid,Variable,,Spirits of Flame,EmperorGreymon | Spirits of Wind | Ice | Wood | Earth,Unknown,Unknown,Brahmashira | Brahmastra,True,"Warrior Digimon burning with sacred fire, relentless in battle."
13,Alphamon,/digimons_images/Alphamon.jpg,Mega,Vaccine,Virus Busters,Grademon,Alphamon Ouryuken | Ouryumon,Alphamon Ouryuken,Unknown,Seiken Gradalpha | Digital Monster X-Evolution | Kyūkyokusenjin Ouryūken | Ouryūken,True,"Royal Knight Digimon, protector of order and wielder of immense power."
14,Alphamon Ouryuken,/digimons_images/Alphamon_Ouryuken.jpg,Mega,Vaccine,Virus Busters,Alphamon,Unknown,Unknown,Unknown,Kyūkyokusenjin Ouryūken | Digital Monster X-Evolution | Seiken Gradalpha,True,"Fusion of Alphamon and Ouryumon, bearing the legendary Ouryuken sword."
15,Ancient Wisemon,/digimons_images/AncientWisemon.jpg,Mega,Virus,Unknown,Unknown,Unknown,Unknown,Unknown,Laplace no Ma,True,"Ancient Digimon of knowledge, revered for its wisdom and mystical power."
16,Andiramon,/digimons_images/Andiramon.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,"Rabbit-like Digimon with long arms, loyal and disciplined in battle."
17,Andromon,/digimons_images/Andromon.jpg,Ultimate,Vaccine,Metal Empire,Guardromon,HiAndromon,Unknown,Unknown,Spiral Sword | Gatling Missile | Gatling Missile Rensha Mode,True,"Cyborg Digimon with mechanical precision, a guardian of technology."
18,Angemon,/digimons_images/Angemon.jpg,Champion,Vaccine,Wind Guardians,Patamon,MagnaAngemon | Ankylomon | Shakkoumon | Ankylomon | Armadillomon | Angewomon | NeoDevimon,Devimon,Unknown,Heaven's Knuckle | Holy Rod | God Typhoon | Halo Attack,True,"Holy Digimon with six wings, known for its compassion and justice."
19,Angewomon,/digimons_images/Angewomon.jpg,Ultimate,Vaccine / Free,Nature Spirits,Gatomon,Magnadramon | Ophanimon | Mastemon | LadyDevimon | Ophanimon Falldown Mode | LovelyAngemon,LadyDevimon,Unknown,Holy Arrow | Digimon World Data Squad | Saint Air | Holy Kick | Holy Attack | Holy Dash | Angel Wing | Holy Charge Kick | Holy Charm,True,"Graceful angel Digimon radiating light, protector against darkness."
20,Ankylomon,/digimons_images/Ankylomon.jpg,Champion,Vaccine / Free,Nature Spirits,Armadillomon,Shakkoumon | Angemon | MagnaAngemon | Angemon | Brachiomon,Unknown,Unknown,Armor Stampede | Rhythmical Knock,True,"Armored beast Digimon, sturdy and dependable with a gentle heart."
21,Anomalocarimon,/digimons_images/Anomalocarimon.jpeg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,"Ancient sea creature Digimon, lurking predator of the digital ocean."
22,Apocalymon,/digimons_images/Apocalymon.jpg,Mega,Free,Dark Area,DemiDevimon,Mephistomon,Unknown,Unknown,Ankoku | Death Evolution | Gran Death Big Bang | Shokushu Kougeki | Ultimate Stream,True,"Being of destruction, embodiment of despair and the end of worlds."
23,Apollomon,/digimons_images/Apollomon.jpg,Mega,Vaccine,Dragon's Roar,Flaremon,GraceNovamon | Dianamon,Unknown,Shoutmon X7F Superior Mode,Solblaster | PhoebusBlow | Arrow of Apollo,True,"Sun god Digimon, radiating blazing solar energy and authority."
24,Aquilamon,/digimons_images/Aquilamon.jpg,Champion,Data / Free,Wind Guardians,Hawkmon,Silphymon | Gatomon | Angewomon | Gatomon | Garudamon,Unknown,Unknown,Glide Horn | Blast Laser | Stealth Quarrel,True,"Large bird Digimon, fierce and fast, a predator of the skies."
25,Archnemon,/digimons_images/Archnemon.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,"Spider Digimon, cunning and sly, weaving traps for its enemies."
26,Armadillomon,/digimons_images/Armadillomon.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,"Armored mammal Digimon with a relaxed personality, preferring naps over fights."
27,Armageddemon,/digimons_images/Armageddemon.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,"Colossal insect Digimon of destruction, feared as an unstoppable force."
28,Astamon,/digimons_images/Astamon.jpg,Ultimate,Virus,Dark Area,Psychemon,Belphemon Sleep Mode | Belphemon Rage Mode,Unknown,Unknown,Unknown,True,"Mafia-like Digimon with a gun, stylish and dangerously calm."
29,Atlur Kabuterimon,/digimons_images/Atlur Kabuterimon.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,"Giant insect Digimon, armored and relentless in battle."
30,Avenge Kidmon,/digimons_images/AvengeKidmon.jpg,Mega,Virus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,True,"Gun-wielding Digimon cloaked in vengeance, striking with precision."
31,Bacchusmon,/digimons_images/Bacchusmon.jpg,Mega,Virus,Unknown,Unknown,Unknown,Unknown,Unknown,Cook of the Hell | Party of the Heaven | Reverse of the Dead,True,"God of indulgence among Digimon, carefree and overflowing with energy."
32,Bacchusmon Drunk,/digimons_images/Bacchusmon Drunk.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,"Carefree and tipsy form of Bacchusmon, jovial yet unpredictable."
33,Bakemon,/digimons_images/Bakemon.jpg,Champion,Virus,Nightmare Soldiers,DemiDevimon,Phantomon | Myotismon | Pumpkinmon,Soulmon,Unknown,Hell's Hand | Death Charm | Death Claw,True,"Ghost Digimon draped in sheets, playful yet spooky."
34,Bakumon,/digimons_images/Bakumon.jpeg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,"Dream-eating Digimon, floating silently through the night."
35,Bancho Leomon,/digimons_images/BanchoLeomon.jpg,Mega,Vaccine,Virus Busters,GrapLeomon,Chaosmon | Darkdramon | Chaosmon: Valdur Arm | Varodurumon | UltimateChaosmon | Darkdramon | Varodurumon | Kentaurosmon | BanchoLeomon Burst Mode,Unknown,Unknown,Shishiraouzan | Flash Bantyo Punch | Otokogi | Burn Bantyo Punch,True,"Rebellious lion warrior Digimon, proud and unyielding in justice."
36,Bao Huckmon,/digimons_images/BaoHuckmon.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,"Young dragon warrior Digimon, eager to sharpen its fighting spirit."
37,Barbamon,/digimons_images/Barbamon.jpg,Mega,Virus,Dark Area,Bastemon,OmegaArmamon Burst Mode | Armamon,Unknown,Unknown,Jigoku no Kaen,True,"One of the Seven Demon Lords, greedy sorcerer craving wealth and power."
38,Bearmon,/digimons_images/Bearmon.jpg,Rookie,Vaccine,Nature Spirits,Tsunomon,Grizzlymon | LoaderLiomon | Gallantmon | Guilmon,Unknown,Shoutmon X7F Superior Mode,KogumaSeikendzuki,True,"Small bear Digimon, energetic and brave despite its size."
39,Beel Starmon,/digimons_images/BeelStarmon.jpg,Mega,Virus,Nightmare Soldiers,Unknown,Unknown,Unknown,Unknown,Unknown,True,Gun-slinging Digimon with a cool demeanor and a taste for battle.
40,Beelzemon,/digimons_images/Beelzemon.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,"Demon lord Digimon, feared for its power and ruthless determination."
41,Beelzemon Blast Mode,/digimons_images/BeelzemonBlastMode.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,"Beelzemon empowered with wings, wielding overwhelming destructive force."
42,Belial Vamdemon,/digimons_images/BelialVamdemon.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,"Dark vampire Digimon, manipulative and terrifying in its cruelty."
43,Belphemon Rage Mode,/digimons_images/Belphemon_Rage_Mode.jpg,Mega,Virus,Dark Area,Code Key of Sloth,Unknown,Unknown,Unknown,Unknown,True,"Rampaging demon lord Digimon, embodiment of fury and destruction."
44,Belphemon Sleep Mode,/digimons_images/Belphemon_Sleep_Mode.jpg,Mega,Virus,Dark Area,Astamon,Unknown,Unknown,Unknown,Unknown,True,"Slumbering demon lord Digimon, radiating quiet yet menacing power."
45,Beowolfmon,/digimons_images/BeoWolfmon.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,"Warrior Digimon clad in wolf armor, swift and noble in spirit."
46,Betamon,/digimons_images/Betamon.jpg,Rookie,Virus,Nature Spirits,Koromon,Seadramon | Dinohyumon,Unknown,Shoutmon X7F Superior Mode,Dengeki Biririn | Cutter Fin,True,"Amphibian Digimon with an electric shock attack, peaceful unless provoked."
47,Big Mamemon,/digimons_images/BigMamemon.jpg,Ultimate,Data,Metal Empire,Unknown,Unknown,Unknown,Unknown,Big Smiley Bomber,True,"Giant Mamemon variant, cheerful despite its enormous size."
48,Birdramon,/digimons_images/Birdramon.jpg,Champion,Vaccine,Wind Guardians,Biyomon,Garudamon | Garudamon X,Unknown,Unknown,Mach Glide | Kyoushū | Phoenix Taze,True,"Flame-winged bird Digimon, guardian of the skies with fiery attacks."
49,Black King Numemon,/digimons_images/BlackKingNumemon.jpg,Ultimate,Virus,Unknown,Numemon,PlatinumNumemon,Unknown,Unknown,Unknown,True,"Dark ruler variant of Numemon, more aggressive and commanding."
50,Black Tailmon,/digimons_images/BlackTailmon.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,"Dark-colored Tailmon, stealthy and fierce in combat."
51,Blimpmon,/digimons_images/Blimpmon.jpg,Champion,Data,Wind Guardians,Unknown,Unknown,Unknown,Unknown,Unknown,True,"Airship Digimon, floating calmly while surveying vast areas."
52,Blue Meramon,/digimons_images/BlueMeramon.jpg,Ultimate,Data,Nightmare Soldiers,Meramon,Boltmon,Unknown,Unknown,Vision Bind | Mental Point Alchemy,True,"Cold-flamed variant of Meramon, calm and disciplined fighter."
53,Boltmon,/digimons_images/Boltmon.jpg,Mega,Data,Metal Empire,BlueMeramon,Unknown,Unknown,Unknown,TomahawkSteiner | Bousou,True,Colossal cyborg Digimon with unmatched strength and resilience.
54,Botamon,/digimons_images/Botamon.jpg,Fresh,Data / Free,Nightmare Soldiers,Unknown,Koromon | Impmon | Lopmon | Airdramon | Veedramon | DarkTyrannomon | Ponchomon | Wanyamon | Budmon,Unknown,Unknown,San no Awa | Awa,True,"Fluffy black baby Digimon, loyal to its tamer."
55,Brachiomon,/digimons_images/Brachiomon.jpg,Ultimate,Data,Nature Spirits,Poyomon,Unknown,Unknown,Unknown,Unknown,True,"Dinosaur-like Digimon, slow but immensely strong in the seas."
56,Breakdramon,/digimons_images/Breakdramon.jpg,Mega,Virus,Dragon's Roar,Groundramon,Examon | Slayerdramon,Unknown,Unknown,Infinity Boring | Gravity Press,True,"Mechanical dragon Digimon, a living machine of demolition."
57,Bubbmon,/digimons_images/Bubbmon.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
58,Buraimon,/digimons_images/Buraimon.jpg,Champion,Vaccine,Wind Guardians,Hyokomon,Butenmon,Unknown,Unknown,Tsubame Nimai Gaeshi,True,"Samurai bird Digimon, disciplined and devoted to its sword."
59,Butenmon,/digimons_images/Butenmon.jpg,Ultimate,Vaccine,Wind Guardians,Buraimon,Chronomon Holy Mode,Unknown,Unknown,Nichirin no Mai | Gyoukou Issen,True,"Avian monk Digimon, serene in nature and guided by enlightenment."
60,Calamaramon,/digimons_images/Calamaramon.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,"{'description': 'One of the Legendary Ten, a beast Digimon that resembles a squid and rules the seas.'}"
61,Callismon,/digimons_images/Callismon.jpg,Mega,Virus,Nightmare Soldiers,Grizzlymon,Unknown,Unknown,Unknown,Digimon Adventure V-Tamer 01,True,"A beast-like Digimon with wild instincts and brute strength, roaming dense forests in search of prey."
62,Cannonbeemon,/digimons_images/CannonBeemon.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,"{'description': 'A giant insect Digimon with cannon-like weapons, designed for aerial assaults.'}"
63,Caprimon,/digimons_images/Caprimon.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,{'description': 'A small horned Digimon known for its mischievous and energetic nature.'}
64,Catch Mamemon,/digimons_images/CatchMamemon.jpg,Ultimate,Data,Metal Empire,Unknown,Unknown,Unknown,Unknown,Unknown,True,
65,Centalmon,/digimons_images/Centalmon.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,{'description': 'A centaur-like Digimon with great speed and accuracy in battle.'}
66,Cerberusmon,/digimons_images/Cerberusmon.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,"{'description': 'A holy beast Digimon resembling a wolf with divine energy, often mistaken for Cerberumon.'}"
67,Cerberusmon  Werewolf Mode,/digimons_images/CerberusmonWerewolfMode.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
68,Ceresmon,/digimons_images/Ceresmon.jpg,Mega,Data,Wind Guardians,Unknown,Unknown,Unknown,Unknown,Famēs,True,"Colossal Digimon with a floating island on its back, guardian of nature."
69,Ceresmon Medium,/digimons_images/Ceresmon_Medium.jpg,Mega,Data,Unknown,Blossomon,Unknown,Unknown,Unknown,Phales,True,"Smaller manifestation of Ceresmon, gentle but watchful."
70,Chaos Dukemon,/digimons_images/ChaosDukemon.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
71,Chaosdramon,/digimons_images/Chaosdramon.jpg,Mega,Virus,Dragon's Roar,Unknown,Unknown,Unknown,Unknown,Hyper ∞ Cannon | Destroyed Harken,True,"Ultimate mechanical dragon Digimon, merciless and nearly indestructible."
72,Chaosmon,/digimons_images/Chaosmon.jpg,Mega,Vaccine,Unknown,DarkTyrannomon,Unknown,Unknown,Unknown,Haou Ryoudanken,True,"Fusion Digimon born from anomaly, unstable yet immensely powerful."
73,Chaosmon Valdur Arm,/digimons_images/ChaosmonValdurArm.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,"Chaosmon variant wielding the Valdur Arm, radiating unstable light."
74,Cherubimon Evil,/digimons_images/CherubimonEvil.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
75,Cherubimon Good,/digimons_images/CherubimonGood.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
76,Chimairamon,/digimons_images/Chimairamon.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,"Fusion Digimon with parts of many species, chaotic and fearsome."
77,Choromon,/digimons_images/Choromon.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,"Small metallic baby Digimon, playful with its shiny body."
78,Chronomon,/digimons_images/Chronomon.png,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
79,Chronomon Destroy,/digimons_images/ChronomonDestroy.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
80,Chrysalimon,/digimons_images/Chrysalimon.jpg,Champion,Virus / Free,Dark Area,Keramon,Infermon,Unknown,Unknown,Unknown,True,"Cocoon Digimon with tentacles, eerie and calculating predator."
81,Clavis Angemon,/digimons_images/ClavisAngemon.jpg,Mega,Vaccine,Wind Guardians,Unknown,Unknown,Unknown,Unknown,Unknown,True,"Angel Digimon with a key weapon, guardian of sacred gates."
